"departement","begrotingsstaten","begrotingshoofdstuk_R","begroting","naam_agentschap","Agentschap","Jaar","Dep.","FTE (in aantallen)","Immateriële vaste activa","Materiële vaste activa","Financiële vaste activa","Vaste activa","Voorraden + OHW","Debiteuren + Nog te ontvangen","Liquide middelen","Vlottende activa","Totaal activa","Exploitatie reserve","Verplichte / Bestemmings-reserve","Onverdeeld resultaat","Eigen vermogen","Voorzieningen","Leningen FIN","Crediteuren + Kortlopende schulden","Totaal passiva","Omzet moeder departement","Omzet overige departementen","Omzet derden","Omzet","Diverse opbrengsten","Rentebaten","Vrijval voorzieningen","Bijzondere baten","Baten","Personele kosten","Materiële kosten","Apparaats-uitgaven","Afschrijving","Diverse lasten","Dotatie voorzieningen","Rentelasten","Bijzondere lasten","Lasten","Resultaat"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Basisadministratie Persoonsgegevens en Reisdocumenten","BPR","2013","BZK","95","0","9391","0","9391","0","4244","43393","47637","57028","5162","0","0","5162","0","7500","44366","57028","19468","0","79456","98924","0","41","0","0","98965","9419","83807","93226","322","5416","0","1","0","98965","0"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Dienst Huurcommissie","DHC","2013","BZK","62","2611","97","0","2708","2493","637","11605","14735","17443","2011","0","-1820","191","3343","0","13909","17443","13300","0","983","14283","0","11","71","3703","18068","7081","6018","13099","960","0","1837","0","3992","19888","-1820"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","FM Haaglanden","FMH","2013","BZK","361","0","24828","0","24828","0","10572","7391","17963","42791","8823","0","-1220","7603","46","15540","19602","42791","30645","86008","181","116834","0","10","23","0","116867","29598","82289","111887","5728","0","0","472","0","118087","-1220"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Logius","Logius","2013","BZK","143","0","4109","0","4109","0","6666","59020","65686","69795","7102","0","2040","9142","0","3715","56938","69795","40590","52406","7035","100031","0","0","0","33","100064","33222","63428","96650","1298","0","0","76","0","98024","2040"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","P-Direkt","P-Direkt","2013","BZK","421","67436","34","0","67470","0","4540","20017","24557","92027","6982","0","482","7464","314","54174","30075","92027","5126","66846","0","71972","0","20","0","0","71992","33796","22728","56524","11813","0","0","3173","0","71510","482"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Rijksgebouwendienst","RGD","2013","BZK","766","0","5864741","988070","6852811","0","134468","128463","262931","7115742","54516","66683","14073","135272","81155","6133563","765752","7115742","22060","1355306","12312","1389678","34698","997","12447","0","1437820","0","0","68531","356963","751225","33337","282222","0","1423747","14073"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Rijksvastgoed- en ontwikkelingsbedrijf","RVOB","2013","BZK","208,6","29","791","183659","184479","0","5448","28386","33834","218313","1209","11549","3123","15881","230","178955","23247","218313","21888","46","1764","23698","0","172","425","9","24304","15902","4950","20852","329","0","0","0","0","21181","3123"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Shared service center ICT","SSC-ICT","2013","BZK","348,5","0","28382","0","28382","2","19903","23114","43019","71401","980","0","9922","10902","0","17049","43450","71401","35663","80636","0","116299","0","0","0","686","116985","39908","50760","90668","16235","0","0","77","83","107063","9922"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Uitvoeringsbedrijf Bedrijfsvoering Rijk","UBR","2013","BZK","820","1423","1288","0","2711","99","17957","16311","34367","37078","7508","0","-7496","12","0","0","37066","37078","33194","65493","2010","100697","0","5","343","1288","102333","83213","23548","106761","909","0","0","5","2154","109829","-7496"
"Defensie","X, Defensie","X","Defensie","Defensie Telematica Organisatie","DTO","2013","DEF","1760","11258","73005","0","84263","3462","37783","2722","43967","128230","19666","0","-707","18959","0","28398","80872","128229","270638","36473","120","307231","0","0","28","0","307259","153025","128773","281798","25004","0","27","642","495","307966","-707"
