Begrotingsjaar,Valuta,eenheid,Uitgaven (U) Verplichtingen (V) Ontvangsten (O),Begrotingsstaat,Onderdeel,Omschrijving,ontwerpbegroting,vastgestelde begroting,1ste suppletoire begroting,2de suppletoire begroting,Realisatie,Url
2013,Euro,x1000,V,"I, De Koning",3,Doorbelaste uitgaven van andere begrotingen,5661,5661,5673,5894,6118,
2013,Euro,x1000,O,"I, De Koning",-,TOTAAL,0,0,418,418,418,
2013,Euro,x1000,U,"I, De Koning",-,TOTAAL,39933,39933,40155,40376,40606,
2013,Euro,x1000,V,"I, De Koning",-,TOTAAL,39933,39933,40155,40376,40606,
2013,Euro,x1000,O,"IIa, De Staten Generaal",1,Wetgeving en controle Eerste Kamer,79,79,79,90,204,
2013,Euro,x1000,U,"IIa, De Staten Generaal",1,Wetgeving en controle Eerste Kamer,11434,11434,11542,13481,11807,
2013,Euro,x1000,V,"IIa, De Staten Generaal",1,Wetgeving en controle Eerste Kamer,11434,11434,11542,13481,11844,
2013,Euro,x1000,O,"IIa, De Staten Generaal",2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,86,86,86,86,86,
2013,Euro,x1000,U,"IIa, De Staten Generaal",2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,31915,31915,31915,32210,29890,
2013,Euro,x1000,V,"IIa, De Staten Generaal",2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,31915,31915,31915,32210,29890,
2013,Euro,x1000,O,"IIa, De Staten Generaal",3,Wetgeving en controle Tweede Kamer,2766,2766,4966,4966,4766,
2013,Euro,x1000,U,"IIa, De Staten Generaal",3,Wetgeving en controle Tweede Kamer,93784,93784,94908,94923,95429,
2013,Euro,x1000,V,"IIa, De Staten Generaal",3,Wetgeving en controle Tweede Kamer,93784,93784,94908,94923,97690,
2013,Euro,x1000,O,"IIa, De Staten Generaal",4,Wetgeving en controle Eerste en Tweede Kamer,23,23,23,23,0,
2013,Euro,x1000,U,"IIa, De Staten Generaal",4,Wetgeving en controle Eerste en Tweede Kamer,1561,1561,1515,1529,1384,
2013,Euro,x1000,V,"IIa, De Staten Generaal",4,Wetgeving en controle Eerste en Tweede Kamer,1561,1561,1515,1529,1285,
2013,Euro,x1000,O,"IIa, De Staten Generaal",10,Nominaal en onvoorzien,0,0,0,0,0,
2013,Euro,x1000,U,"IIa, De Staten Generaal",10,Nominaal en onvoorzien,-2970,-2970,543,-533,0,
2013,Euro,x1000,V,"IIa, De Staten Generaal",10,Nominaal en onvoorzien,-2970,-2970,543,-533,0,
2013,Euro,x1000,O,"IIa, De Staten Generaal",-,TOTAAL,2954,2954,5154,5165,5056,
2013,Euro,x1000,U,"IIa, De Staten Generaal",-,TOTAAL,135724,135724,140423,141610,138510,
2013,Euro,x1000,V,"IIa, De Staten Generaal",-,TOTAAL,135724,135724,140423,141610,140709,
2013,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",1,Raad van State,2002,2002,2302,2302,2987,
2013,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",1,Raad van State,57417,57417,60879,59912,58990,
2013,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",1,Raad van State,57417,57417,60879,59912,59254,
2013,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",2,Algemene Rekenkamer,1217,1217,1217,1217,1101,
2013,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",2,Algemene Rekenkamer,28895,28895,29736,29799,29051,
2013,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",2,Algemene Rekenkamer,28895,28895,29736,29799,29137,
2013,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",3,De Nationale Ombudsman,1789,1789,2189,2719,2840,
2013,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",3,De Nationale Ombudsman,15250,15250,16014,16303,16226,
2013,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",3,De Nationale Ombudsman,15250,15250,16014,16303,15632,
2013,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",4,Kanselarij der Nederlandse Orden,29,29,29,29,130,
2013,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",4,Kanselarij der Nederlandse Orden,3424,3424,4983,5049,4845,
2013,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",4,Kanselarij der Nederlandse Orden,3424,3424,4983,5049,4791,
2013,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",5,Kabinet van de Gouverneur van de Nederlandse Antillen,0,0,0,0,0,
2013,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",5,Kabinet van de Gouverneur van de Nederlandse Antillen,0,0,0,0,0,
2013,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",5,Kabinet van de Gouverneur van de Nederlandse Antillen,0,0,0,0,0,
2013,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",6,Kabinet van de Gouverneur van Aruba,60,60,60,60,148,
2013,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",6,Kabinet van de Gouverneur van Aruba,1865,1865,1941,1941,1986,
2013,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",6,Kabinet van de Gouverneur van Aruba,1865,1865,1941,1941,1985,
2013,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",7,Kabinet van de Gouverneur van Curaçao,200,200,200,200,148,
2013,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",7,Kabinet van de Gouverneur van Curaçao,2786,2786,2786,2785,2550,
2013,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",7,Kabinet van de Gouverneur van Curaçao,2786,2786,2786,2785,2491,
2013,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",8,Kabinet van de Gouverneur van Sint Maarten,50,50,50,50,289,
2013,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",8,Kabinet van de Gouverneur van Sint Maarten,2119,2119,2370,2373,2273,
2013,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",8,Kabinet van de Gouverneur van Sint Maarten,2119,2119,2370,2373,2262,
2013,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",10,Nominaal en onvoorzien,0,0,0,0,0,
2013,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",10,Nominaal en onvoorzien,191,191,1177,0,0,
2013,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",10,Nominaal en onvoorzien,191,191,1177,0,0,
2013,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",-,TOTAAL,5347,5347,6047,6577,7643,
2013,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",-,TOTAAL,111947,111947,119886,118162,115921,
2013,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",-,TOTAAL,111947,111947,119886,118162,115552,
2013,Euro,x1000,O,"III, Algemene Zaken",1,Bevorderen eenheid regeringsbeleid,4197,4197,6341,6341,6605,
2013,Euro,x1000,U,"III, Algemene Zaken",1,Bevorderen eenheid regeringsbeleid,58687,58687,60224,56503,55780,
2013,Euro,x1000,V,"III, Algemene Zaken",1,Bevorderen eenheid regeringsbeleid,58687,58687,60224,56503,55780,
2013,Euro,x1000,O,"III, Algemene Zaken",4,Kabinet van de Koning,2402,2402,2410,2631,2572,
2013,Euro,x1000,U,"III, Algemene Zaken",4,Kabinet van de Koning,2402,2402,2410,2631,2615,
2013,Euro,x1000,V,"III, Algemene Zaken",4,Kabinet van de Koning,2402,2402,2410,2631,2615,
2013,Euro,x1000,O,"III, Algemene Zaken",5,Cie v. Toez. I&V,0,0,0,0,39,
2013,Euro,x1000,U,"III, Algemene Zaken",5,Cie v. Toez. I&V,1075,1075,1076,1076,885,
2013,Euro,x1000,V,"III, Algemene Zaken",5,Cie v. Toez. I&V,1075,1075,1076,1076,885,
2013,Euro,x1000,O,"III, Algemene Zaken",-,TOTAAL,6599,6599,8751,8972,9216,
2013,Euro,x1000,U,"III, Algemene Zaken",-,TOTAAL,62164,62164,63710,60210,59280,
2013,Euro,x1000,V,"III, Algemene Zaken",-,TOTAAL,62164,62164,63710,60210,59280,
2013,Euro,x1000,O,"IV, Koninkrijksrelaties",1,Waarborgfunctie,4857,4857,4857,4857,5295,
2013,Euro,x1000,U,"IV, Koninkrijksrelaties",1,Waarborgfunctie,63607,63607,63607,63607,63859,
2013,Euro,x1000,V,"IV, Koninkrijksrelaties",1,Waarborgfunctie,63607,63607,63607,63607,75317,
2013,Euro,x1000,O,"IV, Koninkrijksrelaties",2,Bevord.autonomie Koninkrijkspartners,28013,28013,28013,33169,34705,
2013,Euro,x1000,U,"IV, Koninkrijksrelaties",2,Bevord.autonomie Koninkrijkspartners,213131,213131,220887,227492,247217,
2013,Euro,x1000,V,"IV, Koninkrijksrelaties",2,Bevord.autonomie Koninkrijkspartners,20149,20149,27905,34510,39846,
2013,Euro,x1000,O,"IV, Koninkrijksrelaties",3,Nominaal en onvoorzien,0,0,0,0,0,
2013,Euro,x1000,U,"IV, Koninkrijksrelaties",3,Nominaal en onvoorzien,805,805,7105,0,0,
2013,Euro,x1000,V,"IV, Koninkrijksrelaties",3,Nominaal en onvoorzien,805,805,7105,0,0,
2013,Euro,x1000,O,"IV, Koninkrijksrelaties",-,TOTAAL,32870,32870,32870,38026,40000,
2013,Euro,x1000,U,"IV, Koninkrijksrelaties",-,TOTAAL,277543,277543,291599,291099,311076,
2013,Euro,x1000,V,"IV, Koninkrijksrelaties",-,TOTAAL,84561,84561,98617,98117,115163,
2013,Euro,x1000,O,"IXa, Nationale Schuld",1,Financiering staatsschuld,47126831,46105830,50109831,53388505,51869439,
2013,Euro,x1000,U,"IXa, Nationale Schuld",1,Financiering staatsschuld,42055423,42011412,40738571,38348275,46229838,
2013,Euro,x1000,V,"IXa, Nationale Schuld",1,Financiering staatsschuld,42055423,42011412,40738571,38348275,46229838,
2013,Euro,x1000,O,"IXa, Nationale Schuld",2,Kasbeheer,1929063,1921989,2172574,2196540,3205155,
2013,Euro,x1000,U,"IXa, Nationale Schuld",2,Kasbeheer,8867626,8246332,9866395,8165673,2733419,
2013,Euro,x1000,V,"IXa, Nationale Schuld",2,Kasbeheer,8867626,8246332,9866395,8165673,2733419,
2013,Euro,x1000,O,"IXa, Nationale Schuld",-,TOTAAL,49055894,48027819,52282405,55585045,55074594,
2013,Euro,x1000,U,"IXa, Nationale Schuld",-,TOTAAL,50923049,50257744,50604966,46513948,48963257,
2013,Euro,x1000,V,"IXa, Nationale Schuld",-,TOTAAL,50923049,50257744,50604966,46513948,48963257,
2013,Euro,x1000,O,"IXb, Financiën",1,Belastingen,852125,852125,812125,645125,648199,
2013,Euro,x1000,U,"IXb, Financiën",1,Belastingen,3244427,3244427,3404813,3212514,3187000,
2013,Euro,x1000,V,"IXb, Financiën",1,Belastingen,3244427,3244427,3404813,3212514,3273683,
2013,Euro,x1000,O,"IXb, Financiën",2,Financiele Markten,176748,176748,169525,292403,362270,
2013,Euro,x1000,U,"IXb, Financiën",2,Financiele Markten,59938,59938,60881,62866,60866,
2013,Euro,x1000,V,"IXb, Financiën",2,Financiele Markten,59938,59938,60881,-6084316,-7291534,
2013,Euro,x1000,O,"IXb, Financiën",3,Financ. act. Publiek-Private sector,5201977,5027343,6197126,7121120,9603301,
2013,Euro,x1000,U,"IXb, Financiën",3,Financ. act. Publiek-Private sector,1994237,1994237,5715624,6187622,8674220,
2013,Euro,x1000,V,"IXb, Financiën",3,Financ. act. Publiek-Private sector,336637,336637,14835024,14756035,13595835,
2013,Euro,x1000,O,"IXb, Financiën",4,Internationale Fin. Betrekkingen,64091,32394,32394,34186,34336,
2013,Euro,x1000,U,"IXb, Financiën",4,Internationale Fin. Betrekkingen,2323757,2449757,2599757,2599757,2599623,
2013,Euro,x1000,V,"IXb, Financiën",4,Internationale Fin. Betrekkingen,308005,434005,434005,-47707765,-49193450,
2013,Euro,x1000,O,"IXb, Financiën",5,Exportkrediet- en investeringsverzekering,128550,128550,142550,216250,202684,
2013,Euro,x1000,U,"IXb, Financiën",5,Exportkrediet- en investeringsverzekering,113106,113106,113106,113106,103647,
2013,Euro,x1000,V,"IXb, Financiën",5,Exportkrediet- en investeringsverzekering,10616386,10616386,10616386,10616386,3590788,
2013,Euro,x1000,O,"IXb, Financiën",6,BTW-Compensatiefonds,0,0,0,0,0,
2013,Euro,x1000,U,"IXb, Financiën",6,BTW-Compensatiefonds,2895357,2895357,2894127,2660000,2715812,
2013,Euro,x1000,V,"IXb, Financiën",6,BTW-Compensatiefonds,2895357,2895357,2894127,2660000,2715812,
2013,Euro,x1000,O,"IXb, Financiën",7,Beheer materiele activa,176986,1800,1800,2100,2278,
2013,Euro,x1000,U,"IXb, Financiën",7,Beheer materiele activa,84580,300,306,606,334,
2013,Euro,x1000,V,"IXb, Financiën",7,Beheer materiele activa,84580,300,306,606,-1550,
2013,Euro,x1000,O,"IXb, Financiën",10,Nominaal en onvoorzien,0,0,0,0,0,
2013,Euro,x1000,U,"IXb, Financiën",10,Nominaal en onvoorzien,7008,5685,3219,3901,0,
2013,Euro,x1000,V,"IXb, Financiën",10,Nominaal en onvoorzien,7008,5685,3219,3901,0,
2013,Euro,x1000,O,"IXb, Financiën",21,Centraal Apparaat,27525,27346,33505,31070,36211,
2013,Euro,x1000,U,"IXb, Financiën",21,Centraal Apparaat,204189,203021,214776,201324,198490,
2013,Euro,x1000,V,"IXb, Financiën",21,Centraal Apparaat,204189,203021,214776,201324,198523,
2013,Euro,x1000,O,"IXb, Financiën",-,TOTAAL,6628002,6246306,7389025,8342254,10889279,
2013,Euro,x1000,U,"IXb, Financiën",-,TOTAAL,10926599,10965828,15006609,15041696,17539992,
2013,Euro,x1000,V,"IXb, Financiën",-,TOTAAL,17756527,17795756,32463537,-22341315,-33111893,
2013,Euro,x1000,O,"J, Deltafonds",1,Investeren in waterveiligheid,87689,87689,89221,86356,92708,
2013,Euro,x1000,U,"J, Deltafonds",1,Investeren in waterveiligheid,536712,536712,553129,546941,574101,
2013,Euro,x1000,V,"J, Deltafonds",1,Investeren in waterveiligheid,672709,672709,696129,1152846,1053633,
2013,Euro,x1000,O,"J, Deltafonds",2,Investeren in zoetwatervoorziening,2500,2500,8061,66,0,
2013,Euro,x1000,U,"J, Deltafonds",2,Investeren in zoetwatervoorziening,32117,32117,24285,46929,46278,
2013,Euro,x1000,V,"J, Deltafonds",2,Investeren in zoetwatervoorziening,7249,7249,23752,35602,32340,
2013,Euro,x1000,O,"J, Deltafonds",3,"Beheer, Onderhoud en vervanging",0,0,0,0,0,
2013,Euro,x1000,U,"J, Deltafonds",3,"Beheer, Onderhoud en vervanging",156150,156150,178397,192033,190180,
2013,Euro,x1000,V,"J, Deltafonds",3,"Beheer, Onderhoud en vervanging",155124,155124,152681,188324,189429,
2013,Euro,x1000,O,"J, Deltafonds",4,Experimenteren cf. art.111 Deltawet,0,0,0,0,0,
2013,Euro,x1000,U,"J, Deltafonds",4,Experimenteren cf. art.111 Deltawet,0,0,0,0,0,
2013,Euro,x1000,V,"J, Deltafonds",4,Experimenteren cf. art.111 Deltawet,0,0,0,0,0,
2013,Euro,x1000,O,"J, Deltafonds",5,Netwerkgebonden kosten en overige uitgaven,0,0,0,0,0,
2013,Euro,x1000,U,"J, Deltafonds",5,Netwerkgebonden kosten en overige uitgaven,247581,247581,283760,253873,253827,
2013,Euro,x1000,V,"J, Deltafonds",5,Netwerkgebonden kosten en overige uitgaven,247184,247184,252907,253859,253539,
2013,Euro,x1000,O,"J, Deltafonds",6,Bijdrage ten laste van begroting Hoofdstuk XII,882371,882371,942289,973525,973745,
2013,Euro,x1000,U,"J, Deltafonds",6,Bijdrage ten laste van begroting Hoofdstuk XII,0,0,0,0,0,
2013,Euro,x1000,V,"J, Deltafonds",6,Bijdrage ten laste van begroting Hoofdstuk XII,0,0,0,0,0,
2013,Euro,x1000,O,"J, Deltafonds",-,TOTAAL,972560,972560,1039571,1059947,1066453,
2013,Euro,x1000,U,"J, Deltafonds",-,TOTAAL,972560,972560,1039571,1039776,1064386,
2013,Euro,x1000,V,"J, Deltafonds",-,TOTAAL,1082266,1082266,1125469,1630631,1528941,
2013,Euro,miljoen,O,Rijk,-,TOTAAL,82250,"81032,9","90796,1","96134,3","99016,8",
2013,Euro,miljoen,U,Rijk,-,TOTAAL,219520,"219322,5","225044,7","220215,2","225432,1",
2013,Euro,miljoen,V,Rijk,-,TOTAAL,193038,"192477,6","214634,6","147223,2","135028,2",
2013,Euro,miljoen,O,Rijk,A,Infrastructuurfonds,"6234,5","6234,5","6300,5","6278,3","6236,3",
2013,Euro,miljoen,U,Rijk,A,Infrastructuurfonds,"6234,5","6234,5","6300,5","6282,6","6248,6",
2013,Euro,miljoen,V,Rijk,A,Infrastructuurfonds,"5626,9","5626,9","9530,6","6732,7","6137,5",
2013,Euro,miljoen,O,Rijk,B,Gemeentefonds,0,0,0,"0,1","0,1",
2013,Euro,miljoen,U,Rijk,B,Gemeentefonds,"17963,1","17963,1","17889,3","17945,9","17988,8",
2013,Euro,miljoen,V,Rijk,B,Gemeentefonds,"17963,1","17963,1","17860,6","17992,2","17995,7",
2013,Euro,miljoen,O,Rijk,C,Provinciefonds,0,0,0,0,0,
2013,Euro,miljoen,U,Rijk,C,Provinciefonds,"1138,2","1138,2","1527,9","1553,1","1553,1",
2013,Euro,miljoen,V,Rijk,C,Provinciefonds,"1138,2","1138,2","1527,6","1552,7","1552,7",
2013,Euro,miljoen,O,Rijk,F,Diergezondheidsfonds,"9,7","9,7","14,3","17,6","20,5",
2013,Euro,miljoen,U,Rijk,F,Diergezondheidsfonds,"9,7","9,7","14,3","17,6","20,5",
2013,Euro,miljoen,V,Rijk,F,Diergezondheidsfonds,"9,7","9,7","14,3","17,6","20,5",
2013,Euro,miljoen,O,Rijk,H,BES-fonds,0,0,0,0,0,
2013,Euro,miljoen,U,Rijk,H,BES-fonds,"32,1","32,1",34,"34,1","35,7",
2013,Euro,miljoen,V,Rijk,H,BES-fonds,"32,1","32,1",34,"34,1","35,7",
2013,Euro,miljoen,O,Rijk,I,De Koning,0,0,"0,4","0,4","0,4",
2013,Euro,miljoen,U,Rijk,I,De Koning,"39,9","39,9","40,2","40,4","40,6",
2013,Euro,miljoen,V,Rijk,I,De Koning,"39,9","39,9","40,2","40,4","40,6",
2013,Euro,miljoen,O,Rijk,IIA,Staten-Generaal,3,3,"5,2","5,2","5,1",
2013,Euro,miljoen,U,Rijk,IIA,Staten-Generaal,"135,7","135,7","140,4","141,6","138,5",
2013,Euro,miljoen,V,Rijk,IIA,Staten-Generaal,"135,7","135,7","140,4","141,6","140,7",
2013,Euro,miljoen,O,Rijk,IIB,Overige Hoge Colleges van Staat en Kabinetten,"5,3","5,3",6,"6,6","7,6",
2013,Euro,miljoen,U,Rijk,IIB,Overige Hoge Colleges van Staat en Kabinetten,"111,9","111,9","119,9","118,2","115,9",
2013,Euro,miljoen,V,Rijk,IIB,Overige Hoge Colleges van Staat en Kabinetten,"111,9","111,9","119,9","118,2","115,6",
2013,Euro,miljoen,O,Rijk,III,Algemene Zaken,"6,6","6,6","8,8",9,"9,2",
2013,Euro,miljoen,U,Rijk,III,Algemene Zaken,"62,2","62,2","63,7","60,2","59,3",
2013,Euro,miljoen,V,Rijk,III,Algemene Zaken,"62,2","62,2","63,7","60,2","59,3",
2013,Euro,miljoen,O,Rijk,IV,Koninkrijksrelaties,"32,9","32,9","32,9",38,40,
2013,Euro,miljoen,U,Rijk,IV,Koninkrijksrelaties,"277,5","277,5","291,6","291,1","311,1",
2013,Euro,miljoen,V,Rijk,IV,Koninkrijksrelaties,"84,6","84,6","98,6","98,1","115,2",
2013,Euro,miljoen,O,Rijk,IXA,Nationale Schuld (Transactiebasis),"49055,9","48027,8","52282,4",55585,"55074,6",
2013,Euro,miljoen,U,Rijk,IXA,Nationale Schuld (Transactiebasis),50923,"50257,7",50605,"46513,9","48963,3",
2013,Euro,miljoen,V,Rijk,IXA,Nationale Schuld (Transactiebasis),50923,"50257,7",50605,"46513,9","48963,3",
2013,Euro,miljoen,O,Rijk,IXB,Financien,6628,"6246,3",7389,"8342,3","10889,3",
2013,Euro,miljoen,U,Rijk,IXB,Financien,"10926,6","10965,8","15006,6","15041,7",17540,
2013,Euro,miljoen,V,Rijk,IXB,Financien,"17756,5","17795,8","32463,5","-22341,3","-33111,9",
2013,Euro,miljoen,O,Rijk,J,Deltafonds,"972,6","972,6","1039,6","1059,9","1066,5",
2013,Euro,miljoen,U,Rijk,J,Deltafonds,"972,6","972,6","1039,6","1039,8","1064,4",
2013,Euro,miljoen,V,Rijk,J,Deltafonds,"1082,3","1082,3","1125,5","1630,6","1528,9",
