"Jaar","Begrotingshoofdstuk","Naam Begroting","Begrotings artikel nr","Naam artikel","Kostensoort","Realisatie (*Eu 1000)"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Communicatieadvisering","319,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Consumptieve diensten","381,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Consumptieve diensten","108,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Departement_Specifiek_Materieel","1010,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Departement_Specifiek_Materieel","22404,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Documentmanagement Documentontwikkeling en -verwerking","610,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Eindheffing loonbelasting","20,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Evenementen en congresorganisatie","445,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Gebruik en onderhoud gebouw en terreinen","2804,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Gratificaties","5,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Inrichting van Gebouwen","493,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Instroom, doorstroom en uitstroom van personeel","199,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Interim–management","28,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Juridisch advies","4,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Juridisch advies","23,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Landsadvocaat","352,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Noodzakelijke contributies van personeel (bijv. contributies NIVRA, vakverenigingen, nieuwspoort)","1,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Organisatie- en formatieadvies","98,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Pensioenpremies","4,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Personeelsevenementen, - bijeenkomsten en recepties","76,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Personeelsevenementen, - bijeenkomsten en recepties","34,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Post-, Koeriers- en transportdiensten","12,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Reis- en Verblijfkosten","2128,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Relatiegeschenken (niet voor eigen personeel)","22,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Representatie voor eigen personeel","620,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Risicobeheersen","96,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Salaris, vakantie- en eindejaarsuitkering","132518,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Schoonmaken","39,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Sociale lasten en bijdrage zorgverzekeringswet","5304,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Spraak en Data Verbindingen","61,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Spraak en Data Verbindingen","469,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Studie en opleiding","1863,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Subsidies(-regelingen)","467,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Toelagen, toeslagen en vergoedingen","1020,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Tolken en vertalers op grond van wettelijke taken","14,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Uitbesteden beleidsadvies- en onderzoeksopdrachten","2603,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Uitbesteden juridisch adviesopdrachten","27,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Uitbesteden organisatie- en formatieadviesopdrachten","434,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Uitgaven sociaal flankerend beleid","18,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Uitzendkrachten","1086,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Vakliteratuur, abonnementen en overige informatie","337,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Verbruik van energie en water","453,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Verhuiskosten (binnen- en buitenland)","17,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Verhuizen","3,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Vertaaldiensten","35,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Verwerven en afstoten","18,00"
2014,"VII","Binnenlandse Zaken en Koninkrijksrelaties",11,"Centraal apparaat","Wagenpark","31,00"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Aan externe partij uitbestede ICT-dienstverlening.","17689,89"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Aanleg, Beheer en Onderhoud infrastructuur","0,00"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Aanschaf Hardware","1450,85"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Aanschaf programmatuur & software","1068,71"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Accountancy, financiën en administratieve organisatie","375,49"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Advisering en eventueel explorerend onderzoek","324,23"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Advisering opdrachtgevers over automatiseringsvraagstukken","2388,90"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Afvalzorgmanagement","124,62"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Arbeidsomstandigheden en personele zorg (incl. BHV middelen)","401,24"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Bankdiensten","27,17"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Beheer & Onderhoud hardware ","3833,66"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Beheer, Onderhoud programmatuur & Software","4833,20"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Benodigdheden en hulpmiddelen","441,74"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Bijdr aan (inter)nat","270,21"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Bijdr BL dnstn","-21,94"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Bijdrage SSO","31329,75"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Bovenwettelijke uitkering, wachtgelden","3287,05"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Communicatieadvisering","356,87"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Consumptieve diensten","623,81"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Diversen communicatie","1818,81"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Documentmanagement Documentontwikkeling en -verwerking","480,59"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Eindheffing loonbelasting","0,15"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Evenementen en congresorganisatie","361,82"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Functioneel leeftijdsontslag","0,00"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Gebruik en onderhoud gebouw en terreinen","340,01"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Gratificaties","832,54"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Inbesteding","1246,40"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Inrichting van Gebouwen","338,29"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Instroom, doorstroom en uitstroom van personeel","144,31"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Interim–management","135,35"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Juridisch advies","718,84"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Landsadvocaat","230,17"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Noodzakelijke contributies van personeel (bijv. contributies NIVRA, vakverenigingen, nieuwspoort)","72,97"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","1910,29"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Organisatie- en formatieadvies","193,69"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Pensioenpremies","19243,43"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Personeelsevenementen, - bijeenkomsten en recepties","44,35"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Post-, Koeriers- en transportdiensten","238,90"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Reis- en Verblijfkosten","2961,87"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Relatiegeschenken (niet voor eigen personeel)","54,37"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Representatie voor eigen personeel","1163,63"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Risicobeheersen","630,21"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Salaris, vakantie- en eindejaarsuitkering","121168,73"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Schoonmaken","631,99"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Sociale lasten en bijdrage zorgverzekeringswet","13492,89"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Spraak en Data Verbindingen","1257,05"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Studie en opleiding","3930,51"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Subsidies","1777,00"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Toelagen, toeslagen en vergoedingen","2028,05"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Tolken en vertalers op grond van wettelijke taken","0,00"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Uitbesteden accountancy en financiën","259,50"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Uitbesteden beleidsadvies- en onderzoeksopdrachten","3798,03"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Uitbesteden juridisch adviesopdrachten","103,82"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Uitbesteden organisatie- en formatieadviesopdrachten","1108,79"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Uitgaven sociaal flankerend beleid","0,00"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Uitzendkrachten","4119,06"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Vakliteratuur, abonnementen en overige informatie","284,69"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Verblijf extern ","186,29"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Verbruik van energie en water","933,04"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Vergoedingen voor inbesteding personeel","-2663,67"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Verhuiskosten (binnen- en buitenland)","46,05"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Verhuizen","344,84"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Vertaaldiensten","59,32"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Verwerven en afstoten","1002,18"
2014,"VIII","Onderwijs, Cultuur en Wetenschap",95,"Apparaatskosten","Wagenpark","343,14"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","afvalzorgmanagement","156,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Arbeidsomstandigheden en personele zorg (incl. BHV middelen)","348,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Bankdiensten","68,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Benodigdheden en hulpmiddelen","10916,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Bijdrage SSO","6917,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Departement_specifiek_materieel","9040,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Departement_specifiek_personeel","2393,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Diversen Communicatie","1271,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Gebruik en onderhoud gebouw en terreinen","56,00"
2014,"X","Ministerie van Defensie",2,"Staf Commando Zeestrijdkrachten","Gratificaties","15,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Gratificaties","1144,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Inrichting van gebouwen","284,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Instroom, doorstroom en uitstroom van personeel","5,00"
2014,"X","Ministerie van Defensie",2,"Staf Commando Zeestrijdkrachten","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","217,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","13620,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Personeelsevenementen, - bijeenkomsten en recepties","630,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Post-, koeriers- en transportdiensten","2,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Reis- en Verblijfkosten","10693,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Representatie voor eigen personeel","844,00"
2014,"X","Ministerie van Defensie",2,"Staf Commando Zeestrijdkrachten","Salaris, vakantie- en eindejaarsuitkering","9435,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Salaris, vakantie- en eindejaarsuitkering","447162,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Schoonmaken","418,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Spraak en Data Verbindingen","3308,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Studie en opleiding","147,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Studie en opleiding","9793,00"
2014,"X","Ministerie van Defensie",2,"Staf Commando Zeestrijdkrachten","Toelagen, toeslagen en vergoedingen","368,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Toelagen, toeslagen en vergoedingen","56809,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","uitzendkrachten","2651,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Vakliteratuur, abonnementen en overige informatie","281,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Verbruik van energie en water","2684,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Vergoedingen voor inbesteding personeel","3076,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Verhuiskosten (binnen- en buitenland)","1575,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Verwerven en afstoten","2326,00"
2014,"X","Ministerie van Defensie",2,"Operationele eenheden","Wagenpark (bij defensie transportcapaciteit)","3664,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Arbeidsomstandigheden en personele zorg (incl. BHV middelen)","418,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Bankdiensten","23,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Benodigdheden en hulpmiddelen","2337,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Bijdrage SSO","9151,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Departement_specifiek_materieel","29318,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Diversen communicatie","351,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Gebruik en onderhoud gebouw en terreinen","1136,00"
2014,"X","Ministerie van Defensie",3,"Staf Commando Landstrijdkrachten","Gratificaties","6,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Gratificaties","1657,00"
2014,"X","Ministerie van Defensie",3,"Staf Commando Landstrijdkrachten","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","93,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","32923,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Personeelsevenementen, - bijeenkomsten en recepties","1366,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Personeelsevenementen, - bijeenkomsten en recepties","94,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Post-, koeriers- en transportdiensten","55,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Reis- en Verblijfkosten","19439,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Representatie voor eigen personeel","6251,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","risicobeheersen","5,00"
2014,"X","Ministerie van Defensie",3,"Staf Commando Landstrijdkrachten","Salaris, vakantie- en eindejaarsuitkering","3421,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Salaris, vakantie- en eindejaarsuitkering","872399,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Studie en opleiding","6545,00"
2014,"X","Ministerie van Defensie",3,"Staf Commando Landstrijdkrachten","Toelagen, toeslagen en vergoedingen","141,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Toelagen, toeslagen en vergoedingen","67659,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","uitzendkrachten","4495,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Vakliteratuur, abonnementen en overige informatie","54,00"
2014,"X","Ministerie van Defensie",3,"Staf Commando Landstrijdkrachten","Vergoedingen voor inbesteding personeel","5,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Vergoedingen voor inbesteding personeel","3832,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Verwerven en afstoten","209,00"
2014,"X","Ministerie van Defensie",3,"Operationele eenheden","Wagenpark (bij defensie transportcapaciteit)","152,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Aanschaf hardware","225,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Arbeidsomstandigheden en personele zorg (incl. BHV middelen)","851,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Bankdiensten","26,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Benodigdheden en hulpmiddelen","5329,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Bijdrage SSO","3856,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","consumptieve diensten","1123,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Departement_specifiek_materieel","17137,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Gebruik en onderhoud gebouw en terreinen","11,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Gratificaties","801,00"
2014,"X","Ministerie van Defensie",4,"Staf Commando Luchtstrijdkrachten","Gratificaties","32,00"
2014,"X","Ministerie van Defensie",4,"Staf Commando Luchtstrijdkrachten","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","387,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","12503,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Personeelsevenementen, - bijeenkomsten en recepties","1400,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Personeelsevenementen, - bijeenkomsten en recepties","34,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Post-, koeriers- en transportdiensten","308,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Reis- en Verblijfkosten","13366,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Representatie voor eigen personeel","917,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","risicobeheersen","376,00"
2014,"X","Ministerie van Defensie",4,"Staf Commando Luchtstrijdkrachten","Salaris, vakantie- en eindejaarsuitkering","9526,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Salaris, vakantie- en eindejaarsuitkering","352207,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Studie en opleiding","779,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Studie en opleiding","41451,00"
2014,"X","Ministerie van Defensie",4,"Staf Commando Luchtstrijdkrachten","Toelagen, toeslagen en vergoedingen","320,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Toelagen, toeslagen en vergoedingen","34076,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","uitzendkrachten","3724,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Vakliteratuur, abonnementen en overige informatie","103,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Vergoedingen voor inbesteding personeel","334,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Verhuiskosten (binnen- en buitenland)","1405,00"
2014,"X","Ministerie van Defensie",4,"Operationele eenheden","Wagenpark (bij defensie transportcapaciteit)","3325,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Arbeidsomstandigheden en personele zorg (incl. BHV middelen)","36,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Bankdiensten","34,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Benodigdheden en hulpmiddelen","1071,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Bijdrage SSO","753,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","consumptieve diensten","1387,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Departement_specifiek_materieel","9865,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Departement_specifiek_materieel","3273,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Diversen communicatie","26,00"
2014,"X","Ministerie van Defensie",5,"Staf Commando Kmar","Gratificaties","73,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Gratificaties","447,00"
2014,"X","Ministerie van Defensie",5,"Staf Commando Kmar","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","1089,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","10881,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Personeelsevenementen, - bijeenkomsten en recepties","115,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Personeelsevenementen, - bijeenkomsten en recepties","48,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Reis- en Verblijfkosten","7154,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Representatie voor eigen personeel","678,00"
2014,"X","Ministerie van Defensie",5,"Staf Commando Kmar","Salaris, vakantie- en eindejaarsuitkering","34091,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Salaris, vakantie- en eindejaarsuitkering","232550,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Studie en opleiding","133,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Studie en opleiding","4402,00"
2014,"X","Ministerie van Defensie",5,"Staf Commando Kmar","Toelagen, toeslagen en vergoedingen","545,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Toelagen, toeslagen en vergoedingen","17633,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","uitzendkrachten","280,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Vakliteratuur, abonnementen en overige informatie","65,00"
2014,"X","Ministerie van Defensie",5,"Staf Commando Kmar","Vergoedingen voor inbesteding personeel","19,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Vergoedingen voor inbesteding personeel","55,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","vertaaldiensten","3202,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Verwerven en afstoten","64,00"
2014,"X","Ministerie van Defensie",5,"Operationele eenheden","Wagenpark (bij defensie transportcapaciteit)","2404,00"
2014,"X","Ministerie van Defensie",7,"Ondersteuning operationele eenheden","Advisering opdrachtgevers over automatiseringsvraagstukken","194,00"
2014,"X","Ministerie van Defensie",7,"Ondersteuning operationele eenheden","Bankdiensten","3,00"
2014,"X","Ministerie van Defensie",7,"Ondersteuning operationele eenheden","Benodigdheden en hulpmiddelen","37698,00"
2014,"X","Ministerie van Defensie",7,"Ondersteuning operationele eenheden","Bijdrage door SSO's (DMO/OPS)","99887,00"
2014,"X","Ministerie van Defensie",7,"Ondersteuning operationele eenheden","Bijdrage door SSO's (DMO/OPS)","128897,00"
2014,"X","Ministerie van Defensie",7,"Ondersteuning operationele eenheden","Bijdrage door SSO's (Paresto)","363,00"
2014,"X","Ministerie van Defensie",7,"Ondersteuning operationele eenheden","consumptieve diensten","325,00"
2014,"X","Ministerie van Defensie",7,"Ondersteuning operationele eenheden","Departement_specifiek_materieel","24976,00"
2014,"X","Ministerie van Defensie",7,"Ondersteuning operationele eenheden","Gebruik en onderhoud gebouw en terreinen","6,00"
2014,"X","Ministerie van Defensie",7,"Staf DMO","Gratificaties","13,00"
